Record_ID,Equipment_ID,Equipment_Type,Site,Month,Day_of_Week,Weather,Rental_Days,Engine_Hours,Idle_Hours,Current_Rentals,Available_Equipment,Previous_Demand,Predicted_Demand
1,EQX1001,Bulldozer,Nagpur Mine,January,Friday,Cloudy,8,60,5,91,49,104,110
2,EQX1002,Bulldozer,Bengaluru Airport,October,Friday,Cloudy,1,12,28,69,40,54,58
3,EQX1003,Wheel Loader,Kochi Harbor,December,Sunday,Cloudy,14,112,21,108,57,93,100
4,EQX1004,Grader,Lucknow Expressway,December,Monday,Foggy,9,69,34,18,7,15,15
5,EQX1005,Crane,Nagpur Mine,June,Thursday,Sunny,26,179,32,73,9,87,105
6,EQX1006,Bulldozer,Patna Bridge,September,Saturday,Rainy,29,359,0,95,6,81,95
7,EQX1007,Wheel Loader,Mumbai Port,May,Wednesday,Sunny,28,180,7,63,42,74,89
8,EQX1008,Grader,Delhi NCR,June,Friday,Cloudy,22,198,0,82,42,72,86
9,EQX1009,Wheel Loader,Ahmedabad SEZ,March,Sunday,Cloudy,9,121,62,33,45,28,27
10,EQX1010,Excavator,Lucknow Expressway,April,Wednesday,Sunny,13,106,14,77,58,84,98
11,EQX1011,Wheel Loader,Ahmedabad SEZ,November,Saturday,Cloudy,29,333,0,38,10,30,33
12,EQX1012,Backhoe Loader,Surat Industrial,December,Thursday,Cloudy,29,302,17,33,10,34,36
13,EQX1013,Bulldozer,Vizag Port,January,Thursday,Sunny,21,172,33,81,6,78,89
14,EQX1014,Dump Truck,Kochi Harbor,September,Sunday,Rainy,28,189,0,92,58,94,105
15,EQX1015,Backhoe Loader,Pune Highway,November,Saturday,Cloudy,10,95,48,5,48,18,14
16,EQX1016,Backhoe Loader,Goa Port,September,Friday,Cloudy,30,200,8,112,42,113,127
17,EQX1017,Wheel Loader,Coimbatore Plant,March,Monday,Cloudy,18,232,0,81,22,81,88
18,EQX1018,Bulldozer,Mumbai Port,June,Sunday,Cloudy,2,32,8,15,48,15,21
19,EQX1019,Bulldozer,Vizag Port,September,Friday,Cloudy,22,215,0,38,35,50,58
20,EQX1020,Roller,Delhi NCR,April,Thursday,Cloudy,23,196,24,61,59,62,69
21,EQX1021,Bulldozer,Hyderabad Ring Road,April,Monday,Sunny,11,84,59,34,39,26,35
22,EQX1022,Bulldozer,Bengaluru Airport,December,Wednesday,Cloudy,8,49,34,14,34,6,4
23,EQX1023,Dump Truck,Vizag Port,April,Sunday,Cloudy,24,258,36,36,52,36,40
24,EQX1024,Roller,Pune Highway,April,Saturday,Sunny,22,209,32,57,31,69,82
25,EQX1025,Excavator,Pune Highway,November,Tuesday,Foggy,2,41,41,107,57,95,101
26,EQX1026,Wheel Loader,Indore Logistics,April,Monday,Cloudy,5,50,30,64,17,76,85
27,EQX1027,Dump Truck,Bengaluru Airport,September,Tuesday,Cloudy,21,210,0,101,56,93,106
28,EQX1028,Roller,Delhi NCR,August,Wednesday,Cloudy,28,253,0,53,2,50,65
29,EQX1029,Dump Truck,Kochi Harbor,May,Monday,Hot,22,257,0,29,20,20,28
30,EQX1030,Excavator,Bengaluru Airport,December,Monday,Foggy,2,35,62,114,35,104,111
31,EQX1031,Bulldozer,Patna Bridge,March,Tuesday,Sunny,3,40,48,20,58,23,25
32,EQX1032,Excavator,Surat Industrial,October,Saturday,Sunny,22,238,44,45,18,36,43
33,EQX1033,Crane,Ahmedabad SEZ,April,Sunday,Hot,5,75,33,63,22,77,86
34,EQX1034,Bulldozer,Patna Bridge,January,Tuesday,Foggy,19,116,49,32,34,25,25
35,EQX1035,Crane,Kolkata Dock,February,Sunday,Sunny,10,84,59,95,21,99,110
36,EQX1036,Excavator,Jaipur Smart City,November,Monday,Foggy,30,333,0,38,9,51,54
37,EQX1037,Grader,Patna Bridge,May,Wednesday,Hot,7,87,19,92,42,104,117
38,EQX1038,Dump Truck,Hyderabad Ring Road,May,Tuesday,Sunny,21,197,0,5,23,14,25
39,EQX1039,Backhoe Loader,Kochi Harbor,March,Saturday,Cloudy,23,224,0,19,6,34,35
40,EQX1040,Grader,Kolkata Dock,September,Wednesday,Cloudy,19,194,36,21,4,15,21
41,EQX1041,Excavator,Mumbai Port,June,Friday,Rainy,22,143,49,118,57,116,130
42,EQX1042,Grader,Coimbatore Plant,April,Thursday,Sunny,29,261,0,99,23,109,127
43,EQX1043,Wheel Loader,Pune Highway,May,Thursday,Sunny,13,157,47,33,14,44,57
44,EQX1044,Crane,Mumbai Port,May,Monday,Sunny,1,17,50,47,19,59,73
45,EQX1045,Backhoe Loader,Goa Port,June,Wednesday,Sunny,13,160,29,8,9,21,33
46,EQX1046,Grader,Bengaluru Airport,October,Thursday,Cloudy,4,53,40,98,52,93,99
47,EQX1047,Bulldozer,Delhi NCR,July,Sunday,Cloudy,9,76,46,5,35,19,28
48,EQX1048,Wheel Loader,Hyderabad Ring Road,June,Saturday,Cloudy,22,195,18,89,56,77,90
49,EQX1049,Backhoe Loader,Surat Industrial,September,Thursday,Rainy,11,121,26,75,10,66,77
50,EQX1050,Roller,Coimbatore Plant,November,Wednesday,Foggy,20,209,31,75,55,60,63
51,EQX1051,Backhoe Loader,Mysuru Township,April,Tuesday,Hot,20,230,39,61,30,67,75
52,EQX1052,Dump Truck,Hyderabad Ring Road,December,Sunday,Sunny,10,121,32,16,54,31,33
53,EQX1053,Wheel Loader,Mumbai Port,November,Friday,Cloudy,26,186,0,10,17,10,10
54,EQX1054,Bulldozer,Mysuru Township,August,Tuesday,Cloudy,7,99,42,68,27,60,74
55,EQX1055,Excavator,Mumbai Port,February,Tuesday,Cloudy,6,94,60,64,5,66,70
56,EQX1056,Bulldozer,Indore Logistics,August,Friday,Rainy,22,237,18,101,59,100,115
57,EQX1057,Roller,Coimbatore Plant,September,Sunday,Rainy,24,303,33,38,50,30,35
58,EQX1058,Backhoe Loader,Mumbai Port,September,Wednesday,Rainy,9,83,27,35,19,30,36
59,EQX1059,Bulldozer,Mumbai Port,March,Wednesday,Sunny,13,147,14,13,28,11,15
60,EQX1060,Dump Truck,Delhi NCR,July,Friday,Rainy,27,255,0,114,58,123,142
61,EQX1061,Roller,Kolkata Dock,August,Friday,Rainy,10,132,43,73,49,81,93
62,EQX1062,Wheel Loader,Nagpur Mine,August,Sunday,Rainy,14,126,35,48,44,54,64
63,EQX1063,Roller,Indore Logistics,December,Friday,Sunny,30,229,38,8,60,5,6
64,EQX1064,Excavator,Vizag Port,February,Tuesday,Cloudy,28,257,0,38,26,33,35
65,EQX1065,Dump Truck,Ahmedabad SEZ,June,Monday,Cloudy,9,121,23,111,7,111,129
66,EQX1066,Excavator,Hyderabad Ring Road,June,Monday,Rainy,25,276,0,36,14,47,56
67,EQX1067,Grader,Bhopal Quarry,April,Sunday,Sunny,22,150,5,64,46,57,70
68,EQX1068,Crane,Coimbatore Plant,March,Thursday,Sunny,10,78,0,44,38,50,57
69,EQX1069,Roller,Hyderabad Ring Road,December,Wednesday,Sunny,19,229,12,18,46,27,31
70,EQX1070,Bulldozer,Kolkata Dock,October,Wednesday,Sunny,18,183,29,13,34,18,21
71,EQX1071,Excavator,Pune Highway,July,Tuesday,Stormy,14,132,44,95,11,93,109
72,EQX1072,Backhoe Loader,Indore Logistics,October,Sunday,Cloudy,14,191,20,46,56,38,39
73,EQX1073,Bulldozer,Mumbai Port,May,Sunday,Hot,25,243,23,48,3,48,58
74,EQX1074,Crane,Delhi NCR,March,Saturday,Cloudy,12,152,31,40,58,44,44
75,EQX1075,Backhoe Loader,Goa Port,September,Tuesday,Cloudy,7,49,45,67,37,76,85
76,EQX1076,Dump Truck,Bhopal Quarry,November,Saturday,Foggy,15,180,0,42,16,39,42
77,EQX1077,Wheel Loader,Bhopal Quarry,May,Wednesday,Hot,18,191,36,100,37,95,109
78,EQX1078,Dump Truck,Nagpur Mine,May,Friday,Hot,8,71,16,45,9,53,63
79,EQX1079,Grader,Bhopal Quarry,April,Sunday,Sunny,9,117,58,81,20,69,84
80,EQX1080,Wheel Loader,Kolkata Dock,May,Monday,Sunny,6,48,62,21,19,7,18
81,EQX1081,Backhoe Loader,Bhopal Quarry,December,Wednesday,Sunny,4,48,32,65,32,64,72
82,EQX1082,Grader,Bhopal Quarry,January,Saturday,Foggy,4,50,47,67,6,70,74
83,EQX1083,Excavator,Mysuru Township,March,Friday,Sunny,10,67,5,76,50,74,83
84,EQX1084,Wheel Loader,Indore Logistics,September,Monday,Rainy,30,279,24,44,38,48,54
85,EQX1085,Bulldozer,Delhi NCR,April,Monday,Cloudy,9,101,11,35,13,37,44
86,EQX1086,Grader,Indore Logistics,January,Saturday,Foggy,23,245,14,9,16,5,4
87,EQX1087,Backhoe Loader,Hyderabad Ring Road,December,Tuesday,Foggy,22,162,3,59,9,61,66
88,EQX1088,Grader,Hyderabad Ring Road,May,Friday,Sunny,2,39,37,81,49,92,108
89,EQX1089,Backhoe Loader,Indore Logistics,August,Thursday,Rainy,23,206,28,39,34,41,51
90,EQX1090,Dump Truck,Surat Industrial,February,Saturday,Sunny,24,211,8,8,7,5,10
91,EQX1091,Excavator,Mysuru Township,November,Thursday,Cloudy,2,48,20,65,35,70,74
92,EQX1092,Backhoe Loader,Bhopal Quarry,March,Monday,Cloudy,3,38,49,47,22,53,55
93,EQX1093,Grader,Bhopal Quarry,June,Wednesday,Cloudy,10,122,60,9,31,5,10
94,EQX1094,Backhoe Loader,Ahmedabad SEZ,June,Tuesday,Rainy,28,280,41,64,28,50,60
