Equipment_ID,Type,Site_ID,Engine_Hours/Day,Idle_Hours/Day,Fuel_Level (%),Distance_Covered/Day (km),Equipment_Health (%),Current_Contract_ID,Last_Operator_ID,Latitude,Longitude,Maintenance_Status,Utilization (%),Status,Expected_Site_ID,Contract_End_Status,Anomaly_Type,Anomaly_Flag
EQ00001,Excavator,S119,9.8,1.2,57,28.7,88,C2303,OP0028,13.125873,80.306653,Good,83,Running,S119,Active,Normal,0
EQ00002,Excavator,S088,10.1,1.3,49,16.4,90,C5950,OP0137,12.865559,80.288085,Due Soon,87,Running,S088,Active,Normal,0
EQ00003,Motor Grader,S117,9.7,1.8,42,33.5,86,C7249,OP0336,13.263645,80.160668,Good,68,Running,S117,Active,Normal,0
EQ00004,Wheel Loader,S135,5.5,0.5,72,14.0,100,C2609,OP0561,13.340351,80.29292,Good,97,Running,S135,Active,Normal,0
EQ00005,Motor Grader,S059,9.0,1.6,72,29.6,99,C4565,OP0073,12.77546,80.215006,Good,73,Running,S059,Active,Normal,0
EQ00006,Excavator,S034,8.0,2.5,64,17.8,92,C1464,OP0011,13.108332,80.235605,Good,94,Running,S034,Active,Normal,0
EQ00007,Motor Grader,S069,9.0,1.7,48,22.1,87,C4937,OP0052,13.012929,80.30304,Good,71,Running,S069,Active,Normal,0
EQ00008,Wheel Loader,S128,10.9,2.1,62,19.6,91,C8021,OP0286,13.134057,80.149784,Due Soon,80,Running,S128,Active,Normal,0
EQ00009,Backhoe Loader,S106,10.0,2.6,44,23.0,89,C9538,OP0056,13.18246,80.159164,Good,78,Running,S106,Active,Normal,0
EQ00010,Skid Steer Loader,S150,10.0,0.3,51,23.5,80,C4179,OP0798,12.865662,80.081672,Good,94,Running,S150,Active,Normal,0
EQ00011,Dump Truck,S036,6.6,1.2,76,14.3,93,C1206,OP0825,13.133725,80.045796,Due Soon,81,Running,S036,Active,Normal,0
EQ00012,Skid Steer Loader,S051,8.7,2.0,56,36.0,92,C7325,OP1087,13.066004,80.243328,Good,73,Running,S051,Active,Normal,0
EQ00013,Bulldozer,S004,6.3,0.6,50,14.0,86,C8219,OP1031,12.914766,80.028188,Good,71,Running,S004,Active,Normal,0
EQ00014,Backhoe Loader,S038,8.0,1.6,38,36.1,94,C9523,OP0264,13.022769,80.124595,Good,74,Running,S038,Active,Normal,0
EQ00015,Motor Grader,S049,8.1,0.2,48,27.9,94,C2528,OP0434,13.160165,80.204089,Due Soon,66,Running,S049,Active,Normal,0
